source_kp_id,knowledge_node_id,label,label_enums,description
KP_GLOBAL_0001,a1b2c3d4-0001-4000-8000-000000000001,for loop iteration patterns,FOR_LOOP_ITERATION_PATTERNS,"Mastery involves using `for` loops to iterate over sequences (lists, strings, ranges) and applying common patterns such as counting, accumulating, or transforming each element in the collection."
KP_GLOBAL_0002,a1b2c3d4-0001-4000-8000-000000000002,while loop and condition-based iteration,WHILE_LOOP_AND_CONDITION_BASED_ITERATION,"Mastery involves using `while` loops to repeat a block of code as long as a condition remains `True`, including correctly initializing, updating, and terminating the loop variable to avoid infinite loops."
KP_GLOBAL_0003,a1b2c3d4-0001-4000-8000-000000000003,conditional logic in python,CONDITIONAL_LOGIC_IN_PYTHON,"Mastery involves using `if`, `elif`, and `else` statements to control program flow based on evaluated conditions, including constructing compound conditions with logical and comparison operators."
KP_GLOBAL_0004,a1b2c3d4-0001-4000-8000-000000000004,implicit type compatibility,IMPLICIT_TYPE_COMPATIBILITY,"Mastery involves understanding when Python automatically handles operations between compatible types (e.g., `int` and `float` in arithmetic) and recognizing when implicit coercion does not apply, such as mixing `str` and `int`."
KP_GLOBAL_0005,a1b2c3d4-0001-4000-8000-000000000005,string indexing and slicing,STRING_INDEXING_AND_SLICING,"Mastery involves accessing individual characters using 0-based indexing (e.g., `s[0]`) and extracting substrings using slice notation (e.g., `s[start:end]`), including negative indices and omitted bounds."
KP_GLOBAL_0006,a1b2c3d4-0001-4000-8000-000000000006,string operations in python,STRING_OPERATIONS_IN_PYTHON,"Mastery involves applying common string operations including concatenation (`+`), repetition (`*`), length retrieval (`len()`), and membership testing (`in`), as well as built-in methods like `upper()`, `lower()`, `strip()`, and `replace()`."
KP_GLOBAL_0007,a1b2c3d4-0001-4000-8000-000000000007,input handling in python,INPUT_HANDLING_IN_PYTHON,Mastery involves using `input()` to read user input as a string and applying type conversion functions like `int()` or `float()` to transform the input into the appropriate data type for further processing.
KP_GLOBAL_0008,a1b2c3d4-0001-4000-8000-000000000008,variable assignment in python,VARIABLE_ASSIGNMENT_IN_PYTHON,"Mastery involves using the `=` operator to bind values to named variables, including reassigning variables, performing multiple assignment, and understanding that variable names reference objects in memory."
KP_GLOBAL_0009,a1b2c3d4-0001-4000-8000-000000000009,syntax error handling,SYNTAX_ERROR_HANDLING,"Mastery involves identifying and correcting common Python syntax errors such as missing colons, incorrect indentation, mismatched parentheses, and misspelled keywords that prevent the program from running."
KP_GLOBAL_0010,a1b2c3d4-0001-4000-8000-000000000010,output formatting in python,OUTPUT_FORMATTING_IN_PYTHON,"Mastery involves producing formatted output using f-strings (e.g., `f'{value:.2f}'`), the `.format()` method, and `print()` with `sep` and `end` parameters to control the display of values with desired precision, alignment, or separators."
KP_GLOBAL_0012,a1b2c3d4-0001-4000-8000-000000000012,type conversion in python,TYPE_CONVERSION_IN_PYTHON,"Mastery involves explicitly converting values between data types using built-in functions such as `int()`, `float()`, `str()`, and `bool()`, and understanding when and why such conversions are necessary."
KP_GLOBAL_0013,a1b2c3d4-0001-4000-8000-000000000013,arithmetic calculations in python,ARITHMETIC_CALCULATIONS_IN_PYTHON,"Mastery involves using Python's arithmetic operators (`+`, `-`, `*`, `/`, `//`, `%`, `**`) to perform calculations on numeric values, and understanding operator precedence when combining multiple operations in an expression."
KP_GLOBAL_0014,a1b2c3d4-0001-4000-8000-000000000014,list creation and updates,LIST_CREATION_AND_UPDATES,"Mastery involves creating lists using literals or `list()`, and modifying them using methods such as `append()`, `insert()`, `extend()`, `remove()`, and `pop()` to add, update, or delete elements."
KP_GLOBAL_0015,a1b2c3d4-0001-4000-8000-000000000015,list indexing and slicing,LIST_INDEXING_AND_SLICING,"Mastery involves accessing individual list elements by their index (e.g., `lst[0]`, `lst[-1]`) and extracting sublists using slice notation (e.g., `lst[start:end:step]`), including the use of negative indices."
KP_GLOBAL_0016,a1b2c3d4-0001-4000-8000-000000000016,nested loops in python,NESTED_LOOPS_IN_PYTHON,"Mastery involves placing one `for` or `while` loop inside another to iterate over multi-dimensional structures such as grids or matrices, and coordinating the inner and outer loop variables to achieve the desired traversal pattern."
KP_GLOBAL_0017,a1b2c3d4-0001-4000-8000-000000000017,logical error identification,LOGICAL_ERROR_IDENTIFICATION,"Mastery involves reading and tracing code to detect logical errors — bugs where the program runs without crashing but produces incorrect results — by comparing expected vs. actual output and identifying the flawed condition, operator, or algorithm."
KP_GLOBAL_0018,a1b2c3d4-0001-4000-8000-000000000018,recursion and call stack,RECURSION_AND_CALL_STACK,"Mastery involves writing recursive functions that include a clear base case to stop recursion and a recursive step that reduces the problem, while understanding how each function call is pushed onto and popped from the call stack."
KP_GLOBAL_0019,a1b2c3d4-0001-4000-8000-000000000019,code reading and tracing,CODE_READING_AND_TRACING,"Mastery involves manually stepping through Python code line by line, tracking variable values at each step, and predicting the output of a program without executing it, including tracing through loops and function calls."
KP_GLOBAL_0020,a1b2c3d4-0001-4000-8000-000000000020,built-in functions in python,BUILT-IN_FUNCTIONS_IN_PYTHON,"Mastery involves using Python's built-in functions such as `len()`, `range()`, `type()`, `abs()`, `max()`, `min()`, `sum()`, `sorted()`, and `enumerate()` to perform common operations without importing additional modules."
KP_GLOBAL_0021,a1b2c3d4-0001-4000-8000-000000000021,dictionaries in python,DICTIONARIES_IN_PYTHON,"Mastery involves creating dictionaries using `{}` or `dict()`, accessing and updating values by key (e.g., `d[key]`, `d.get(key)`), and iterating over keys, values, or key-value pairs using `.keys()`, `.values()`, and `.items()`."
KP_GLOBAL_0022,a1b2c3d4-0001-4000-8000-000000000022,list mutability and references,LIST_MUTABILITY_AND_REFERENCES,"Mastery involves understanding that lists are mutable and that assignment creates a reference rather than a copy, recognizing the difference between shallow and deep copies (e.g., using `list.copy()` or `copy.deepcopy()`), and predicting how in-place modifications affect shared references."
KP_GLOBAL_0023,a1b2c3d4-0001-4000-8000-000000000023,set operations in python,SET_OPERATIONS_IN_PYTHON,"Mastery involves using Python set operations including union (`|`), intersection (`&`), difference (`-`), and symmetric difference (`^`) to compare and combine sets, as well as membership testing with `in`."
KP_GLOBAL_0024,a1b2c3d4-0001-4000-8000-000000000024,string combination operations,STRING_COMBINATION_OPERATIONS,"Mastery involves combining strings through concatenation (`+`), repetition (`*`), and `join()` (e.g., `', '.join(lst)`), selecting the appropriate method based on the context and the data being combined."
KP_GLOBAL_0025,a1b2c3d4-0001-4000-8000-000000000025,logical operators in python,LOGICAL_OPERATORS_IN_PYTHON,"Mastery involves using `and`, `or`, and `not` to form compound boolean expressions, understanding short-circuit evaluation, and correctly applying these operators to combine conditions in `if` statements and loops."
KP_GLOBAL_0026,a1b2c3d4-0001-4000-8000-000000000026,defining and calling functions,DEFINING_AND_CALLING_FUNCTIONS,"Mastery involves defining reusable functions with `def`, specifying parameters, writing the function body, using `return` to output a value, and invoking the function by passing appropriate arguments."
KP_GLOBAL_0027,a1b2c3d4-0001-4000-8000-000000000027,nested conditionals in python,NESTED_CONDITIONALS_IN_PYTHON,"Mastery involves placing one `if/elif/else` block inside another to implement hierarchical decision logic, and recognizing when nested conditionals can be simplified using `elif` or logical operators."
KP_GLOBAL_0028,a1b2c3d4-0001-4000-8000-000000000028,class hierarchies and inheritance,CLASS_HIERARCHIES_AND_INHERITANCE,"Mastery involves designing multi-level class hierarchies where child classes inherit attributes and methods from parent classes (e.g., `class Child(Parent):`), and understanding how Python resolves method calls through the Method Resolution Order (MRO)."
KP_GLOBAL_0029,a1b2c3d4-0001-4000-8000-000000000029,string methods in python,STRING_METHODS_IN_PYTHON,"Mastery involves applying Python's built-in string methods such as `split()`, `join()`, `strip()`, `replace()`, `find()`, `startswith()`, `endswith()`, `lower()`, and `upper()` to transform and search string data."
KP_GLOBAL_0030,a1b2c3d4-0001-4000-8000-000000000030,sorting and uniqueness,SORTING_AND_UNIQUENESS,"Mastery involves using `sorted()` and `list.sort()` to arrange elements in ascending or descending order, and using `set()` or `dict.fromkeys()` to eliminate duplicate values from a collection."
KP_GLOBAL_0031,a1b2c3d4-0001-4000-8000-000000000031,class methods in python,CLASS_METHODS_IN_PYTHON,"Mastery involves defining instance methods with `self`, class methods with `@classmethod` and `cls`, and static methods with `@staticmethod`, understanding when each type is appropriate and how they differ in access to instance and class state."
KP_GLOBAL_0032,a1b2c3d4-0001-4000-8000-000000000032,variable scope in python,VARIABLE_SCOPE_IN_PYTHON,"Mastery involves understanding local, enclosing, global, and built-in (LEGB) scopes, predicting which variable binding is resolved in a given context, and using `global` or `nonlocal` keywords when necessary to modify outer-scope variables."
KP_GLOBAL_0034,a1b2c3d4-0001-4000-8000-000000000034,boolean logic in python,BOOLEAN_LOGIC_IN_PYTHON,"Mastery involves evaluating boolean expressions using `True`, `False`, comparison operators, and logical operators (`and`, `or`, `not`), and understanding Python's truthy/falsy rules for non-boolean values such as `0`, `None`, and empty containers."
KP_GLOBAL_0035,a1b2c3d4-0001-4000-8000-000000000035,class and instance members,CLASS_AND_INSTANCE_MEMBERS,"Mastery involves distinguishing between class-level attributes (shared by all instances) and instance-level attributes (set via `self` in `__init__`), and understanding how attribute lookup proceeds from instance to class."
KP_GLOBAL_0036,a1b2c3d4-0001-4000-8000-000000000036,function arguments and parameters,FUNCTION_ARGUMENTS_AND_PARAMETERS,"Mastery involves defining functions with positional parameters, default values, `*args` for variable positional arguments, and `**kwargs` for variable keyword arguments, and correctly passing arguments when calling such functions."
KP_GLOBAL_0037,a1b2c3d4-0001-4000-8000-000000000037,comparison operators in python,COMPARISON_OPERATORS_IN_PYTHON,"Mastery involves using Python's comparison operators (`==`, `!=`, `<`, `>`, `<=`, `>=`) to compare numeric, string, and other values, and understanding that comparison returns a boolean result that can be used directly in conditional statements."
KP_GLOBAL_0038,a1b2c3d4-0001-4000-8000-000000000038,string comparison logic,STRING_COMPARISON_LOGIC,"Mastery involves comparing strings using `==`, `!=`, `<`, and `>` operators, understanding that comparisons are case-sensitive and based on Unicode (lexicographic) order, and using `.lower()` or `.upper()` to perform case-insensitive comparisons."
KP_GLOBAL_0039,a1b2c3d4-0001-4000-8000-000000000039,python object model,PYTHON_OBJECT_MODEL,"Mastery involves understanding that everything in Python is an object with an identity (`id()`), type (`type()`), and value, and distinguishing between identity comparison (`is`) and equality comparison (`==`), as well as mutable vs. immutable objects."
KP_GLOBAL_0040,a1b2c3d4-0001-4000-8000-000000000040,set methods in python,SET_METHODS_IN_PYTHON,"Mastery involves using set methods such as `.add()`, `.remove()`, `.discard()`, `.pop()`, `.update()`, `.intersection()`, `.union()`, and `.difference()` to modify and query sets."
KP_GLOBAL_0041,a1b2c3d4-0001-4000-8000-000000000041,data structures in python,DATA_STRUCTURES_IN_PYTHON,"Mastery involves selecting the appropriate built-in data structure (list, tuple, set, or dictionary) for a given problem based on characteristics such as ordering, mutability, uniqueness, and key-value association."
KP_GLOBAL_0042,a1b2c3d4-0001-4000-8000-000000000042,operator precedence in python,OPERATOR_PRECEDENCE_IN_PYTHON,"Mastery involves correctly predicting the evaluation order of expressions involving multiple operators by applying Python's precedence rules (e.g., `**` before `*` before `+`), and using parentheses to explicitly control evaluation order."
KP_GLOBAL_0043,a1b2c3d4-0001-4000-8000-000000000043,class instantiation and objects,CLASS_INSTANTIATION_AND_OBJECTS,"Mastery involves creating instances of a class by calling it like a function (e.g., `obj = MyClass(args)`), understanding that `__init__` is invoked automatically, and accessing instance attributes and methods via dot notation."
KP_GLOBAL_0044,a1b2c3d4-0001-4000-8000-000000000044,list methods in python,LIST_METHODS_IN_PYTHON,"Mastery involves using built-in list methods such as `append()`, `extend()`, `insert()`, `remove()`, `pop()`, `index()`, `count()`, `sort()`, and `reverse()` to manipulate list contents in place."
KP_GLOBAL_0045,a1b2c3d4-0001-4000-8000-000000000045,object oriented programming fundamentals,OBJECT_ORIENTED_PROGRAMMING_FUNDAMENTALS,"Mastery involves understanding and applying the four pillars of OOP — encapsulation, abstraction, inheritance, and polymorphism — by defining classes with attributes and methods, creating objects, and modeling real-world entities as code."
KP_GLOBAL_0046,a1b2c3d4-0001-4000-8000-000000000046,working with modules in python,WORKING_WITH_MODULES_IN_PYTHON,"Mastery involves importing standard library and third-party modules using `import`, `from ... import`, and `import ... as`, and using module-level functions and constants (e.g., `math.sqrt()`, `os.path.join()`)."
KP_GLOBAL_0047,a1b2c3d4-0001-4000-8000-000000000047,exception handling in python,EXCEPTION_HANDLING_IN_PYTHON,"Mastery involves using `try`, `except`, `else`, and `finally` blocks to gracefully handle runtime errors, catching specific exception types (e.g., `ValueError`, `TypeError`, `ZeroDivisionError`), and optionally re-raising or logging exceptions."
KP_GLOBAL_0049,a1b2c3d4-0001-4000-8000-000000000049,encapsulation and access control,ENCAPSULATION_AND_ACCESS_CONTROL,Mastery involves bundling data and methods within a class and using naming conventions — single underscore `_attr` for protected and double underscore `__attr` for private — to restrict direct access and signal intended visibility to other code.
KP_GLOBAL_0050,a1b2c3d4-0001-4000-8000-000000000050,default and keyword arguments,DEFAULT_AND_KEYWORD_ARGUMENTS,"Mastery involves defining functions with default parameter values (e.g., `def f(x, n=10):`) and calling functions using keyword arguments (e.g., `f(x=5, n=3)`) to make function calls more explicit and flexible."
KP_GLOBAL_0051,a1b2c3d4-0001-4000-8000-000000000051,python keywords and identifiers,PYTHON_KEYWORDS_AND_IDENTIFIERS,"Mastery involves recognizing Python's reserved keywords (e.g., `if`, `for`, `return`, `class`, `None`) that cannot be used as identifiers, and following naming rules and conventions (snake_case, descriptive names) when declaring variables, functions, and classes."
KP_GLOBAL_0052,a1b2c3d4-0001-4000-8000-000000000052,working with sets in python,WORKING_WITH_SETS_IN_PYTHON,"Mastery involves creating sets using `{}` or `set()`, understanding that sets are unordered and contain only unique hashable elements, and applying set operations (union, intersection, difference) to solve problems involving membership and uniqueness."
KP_GLOBAL_0053,a1b2c3d4-0001-4000-8000-000000000053,functions and return values,FUNCTIONS_AND_RETURN_VALUES,"Mastery involves using the `return` statement to output a value from a function, understanding that a function without an explicit `return` returns `None`, and storing or using the returned value in the calling context."
KP_GLOBAL_0054,a1b2c3d4-0001-4000-8000-000000000054,data types in python,DATA_TYPES_IN_PYTHON,"Mastery involves identifying and working with Python's core built-in data types — `int`, `float`, `str`, `bool`, `list`, `tuple`, `set`, and `dict` — understanding their characteristics, and using `type()` to inspect the type of a value."
KP_GLOBAL_0055,a1b2c3d4-0001-4000-8000-000000000055,abstract classes and interfaces,ABSTRACT_CLASSES_AND_INTERFACES,"Mastery involves defining abstract base classes using `abc.ABC` and the `@abstractmethod` decorator to enforce that subclasses implement specific methods, effectively creating a contract that concrete classes must satisfy."
KP_GLOBAL_0056,a1b2c3d4-0001-4000-8000-000000000056,class attributes and variables,CLASS_ATTRIBUTES_AND_VARIABLES,"Mastery involves defining class-level attributes that are shared across all instances, distinguishing them from instance attributes set in `__init__`, and understanding how modifying a class attribute affects all instances unless overridden at the instance level."
KP_GLOBAL_0057,a1b2c3d4-0001-4000-8000-000000000057,membership operators in python,MEMBERSHIP_OPERATORS_IN_PYTHON,"Mastery involves using the `in` and `not in` operators to test whether a value exists within a sequence (string, list, tuple) or a collection (set, dict), and understanding the performance implications across different data structures."
KP_GLOBAL_0058,a1b2c3d4-0001-4000-8000-000000000058,method overriding in python,METHOD_OVERRIDING_IN_PYTHON,"Mastery involves redefining a method in a subclass that has the same name as a method in the parent class to provide specialized behavior, and optionally calling the parent's implementation using `super().method_name()`."
KP_GLOBAL_0059,a1b2c3d4-0001-4000-8000-000000000059,higher order functions in python,HIGHER_ORDER_FUNCTIONS_IN_PYTHON,"Mastery involves using functions that accept other functions as arguments or return them as values, including built-in higher-order functions like `map()`, `filter()`, and `sorted()` with a `key` parameter, as well as defining custom higher-order functions."
KP_GLOBAL_0060,a1b2c3d4-0001-4000-8000-000000000060,class constructors and initialization,CLASS_CONSTRUCTORS_AND_INITIALIZATION,"Mastery involves defining the `__init__` method to initialize an object's instance attributes when it is created, and understanding that `__init__` is automatically called by Python when a new instance is instantiated."
KP_GLOBAL_0061,a1b2c3d4-0001-4000-8000-000000000061,python syntax,PYTHON_SYNTAX,"Mastery involves writing syntactically valid Python code by correctly using indentation to define blocks, colons after compound statements, proper quoting for strings, and adhering to the rules that govern expressions, statements, and program structure."
KP_GLOBAL_0062,a1b2c3d4-0001-4000-8000-000000000062,comprehensions in python,COMPREHENSIONS_IN_PYTHON,"Mastery involves using list comprehensions (e.g., `[expr for x in iterable if cond]`), dict comprehensions (e.g., `{k: v for k, v in items}`), and set comprehensions to create collections concisely from existing iterables."
KP_GLOBAL_0063,a1b2c3d4-0001-4000-8000-000000000063,list traversal and aggregation,LIST_TRAVERSAL_AND_AGGREGATION,"Mastery involves iterating over a list using a `for` loop or built-in functions, and computing aggregate values such as sum, count, minimum, or maximum using `sum()`, `len()`, `min()`, and `max()`, or via an accumulator pattern."
KP_GLOBAL_0064,a1b2c3d4-0001-4000-8000-000000000064,type checking and introspection,TYPE_CHECKING_AND_INTROSPECTION,"Mastery involves using `type()` to retrieve an object's exact type, `isinstance()` to check if an object is an instance of a class or its subclasses, and `hasattr()` or `dir()` to inspect an object's attributes and methods at runtime."
KP_GLOBAL_0065,a1b2c3d4-0001-4000-8000-000000000065,nested lists and matrices,NESTED_LISTS_AND_MATRICES,"Mastery involves creating and working with lists of lists to represent 2D data structures (matrices), accessing elements using double indexing (e.g., `matrix[row][col]`), and iterating over rows and columns using nested `for` loops."
KP_GLOBAL_0066,a1b2c3d4-0001-4000-8000-000000000066,sequence unpacking in python,SEQUENCE_UNPACKING_IN_PYTHON,"Mastery involves using tuple/list unpacking to assign multiple values from a sequence in a single statement (e.g., `a, b, c = [1, 2, 3]`), including extended unpacking with `*` (e.g., `first, *rest = lst`) and unpacking in `for` loops."
KP_GLOBAL_0067,a1b2c3d4-0001-4000-8000-000000000067,date and time operations,DATE_AND_TIME_OPERATIONS,"Mastery involves using Python's `datetime` module to create, compare, and perform arithmetic on dates and times, including adding or subtracting durations using `timedelta` and extracting components like year, month, day, hour, and minute."
KP_GLOBAL_0068,a1b2c3d4-0001-4000-8000-000000000068,augmented assignment operators,AUGMENTED_ASSIGNMENT_OPERATORS,"Mastery involves using augmented assignment operators (`+=`, `-=`, `*=`, `/=`, `//=`, `%=`, `**=`) as shorthand for updating a variable by applying an arithmetic operation to its current value."
KP_GLOBAL_0069,a1b2c3d4-0001-4000-8000-000000000069,tuple basics in python,TUPLE_BASICS_IN_PYTHON,"Mastery involves creating tuples using parentheses or comma-separated values (including single-element tuples with a trailing comma), accessing elements by index, and understanding that tuples are immutable, making them suitable for fixed collections."
KP_GLOBAL_0070,a1b2c3d4-0001-4000-8000-000000000070,floating point numbers in python,FLOATING_POINT_NUMBERS_IN_PYTHON,"Mastery involves working with `float` values in Python, understanding that floating-point arithmetic can introduce precision errors (e.g., `0.1 + 0.2 != 0.3`), and using `round()` or the `decimal` module when exact precision is required."
KP_GLOBAL_0071,a1b2c3d4-0001-4000-8000-000000000071,character encoding in python,CHARACTER_ENCODING_IN_PYTHON,"Mastery involves converting between characters and their integer Unicode code points using `ord()` and `chr()`, and understanding how character encoding (e.g., ASCII, UTF-8) maps characters to numeric values."
KP_GLOBAL_0072,a1b2c3d4-0001-4000-8000-000000000072,object composition,OBJECT_COMPOSITION,"Mastery involves building complex objects by including instances of other classes as attributes (has-a relationship), rather than using inheritance, to achieve code reuse and model real-world relationships more accurately."
KP_GLOBAL_0073,a1b2c3d4-0001-4000-8000-000000000073,variable naming and declaration,VARIABLE_NAMING_AND_DECLARATION,"Mastery involves declaring variables with meaningful names that follow Python conventions (snake_case, no reserved keywords, starting with a letter or underscore), and understanding that variables are created upon first assignment without explicit type declarations."
KP_GLOBAL_0074,a1b2c3d4-0001-4000-8000-000000000074,date parsing and formatting,DATE_PARSING_AND_FORMATTING,"Mastery involves using `datetime.strptime()` to parse date strings into `datetime` objects and `datetime.strftime()` to format `datetime` objects back into strings, using format codes such as `%Y`, `%m`, `%d`, `%H`, and `%M`."
KP_GLOBAL_0075,a1b2c3d4-0001-4000-8000-000000000075,hashability in python,HASHABILITY_IN_PYTHON,"Mastery involves understanding that only immutable objects (e.g., integers, strings, tuples) are hashable and can be used as dictionary keys or set elements, while mutable objects (e.g., lists, dicts) are not hashable and will raise a `TypeError` if used as keys."
KP_GLOBAL_0076,a1b2c3d4-0001-4000-8000-000000000076,polymorphism in python,POLYMORPHISM_IN_PYTHON,"Mastery involves writing code that operates uniformly on objects of different types through a shared interface, leveraging method overriding in subclasses so that the same method call produces type-appropriate behavior at runtime."
KP_GLOBAL_0077,a1b2c3d4-0001-4000-8000-000000000077,random number generation in python,RANDOM_NUMBER_GENERATION_IN_PYTHON,"Mastery involves using the `random` module to generate random numbers (e.g., `random.random()`, `random.randint(a, b)`), shuffle sequences (`random.shuffle()`), and make random selections from a list (`random.choice()`, `random.sample()`)."
KP_GLOBAL_0078,a1b2c3d4-0001-4000-8000-000000000078,code comments and documentation,CODE_COMMENTS_AND_DOCUMENTATION,"Mastery involves writing single-line comments with `#` and multi-line docstrings with triple quotes (`""""""`) to explain the purpose of functions, classes, and modules, and following conventions such as PEP 257 for docstring formatting."
KP_GLOBAL_0079,a1b2c3d4-0001-4000-8000-000000000079,collection operations in python,COLLECTION_OPERATIONS_IN_PYTHON,"Mastery involves performing common operations across Python's built-in collections (lists, tuples, sets, dicts) including iteration, membership testing, length retrieval, and applying appropriate collection-specific methods to manipulate or query data."
KP_GLOBAL_0080,a1b2c3d4-0001-4000-8000-000000000080,rounding numbers in python,ROUNDING_NUMBERS_IN_PYTHON,"Mastery involves using the built-in `round(number, ndigits)` function to round floating-point numbers to a specified number of decimal places, and understanding Python's banker's rounding (round-half-to-even) behavior."
KP_GLOBAL_0081,a1b2c3d4-0001-4000-8000-000000000081,python help and documentation,PYTHON_HELP_AND_DOCUMENTATION,"Mastery involves using the built-in `help()` function and `__doc__` attribute to access documentation for modules, classes, and functions directly in the interpreter, and navigating the official Python documentation to look up syntax, parameters, and examples."
KP_GLOBAL_0082,a1b2c3d4-0001-4000-8000-000000000082,modular programming,MODULAR_PROGRAMMING,"Mastery involves organizing code into separate, reusable modules (`.py` files) and packages (directories with `__init__.py`), and importing functionality across modules using `import` and `from ... import` to promote code reuse and maintainability."
KP_GLOBAL_0083,a1b2c3d4-0001-4000-8000-000000000083,pass statement in python,PASS_STATEMENT_IN_PYTHON,"Mastery involves using the `pass` statement as a no-operation placeholder in syntactically required but intentionally empty blocks such as function stubs, class bodies, or empty `if` branches, allowing code to run without errors during development."
KP_GLOBAL_0084,a1b2c3d4-0001-4000-8000-000000000084,escape sequences in strings,ESCAPE_SEQUENCES_IN_STRINGS,"Mastery involves using escape sequences within string literals to represent special characters, including `\n` (newline), `\t` (tab), `\\` (backslash), `\'` and `\""` (quotes), and using raw strings (e.g., `r'...'`) to suppress escape processing."
KP_GLOBAL_0085,a1b2c3d4-0001-4000-8000-000000000085,decorators in python,DECORATORS_IN_PYTHON,"Mastery involves applying and defining decorators using the `@decorator` syntax to wrap a function with additional behavior, understanding that a decorator is a higher-order function that accepts a function and returns a modified version of it."
KP_GLOBAL_0086,a1b2c3d4-0001-4000-8000-000000000086,string immutability,STRING_IMMUTABILITY,Mastery involves understanding that Python strings are immutable — individual characters cannot be modified in place — and that string operations such as `replace()` or `+` always return new string objects rather than modifying the original.
KP_GLOBAL_0087,a1b2c3d4-0001-4000-8000-000000000087,stack data structure,STACK_DATA_STRUCTURE,"Mastery involves implementing a stack (LIFO) using a Python list, where `append()` pushes an element onto the top and `pop()` removes and returns the top element, and applying the stack pattern to problems such as balanced parentheses checking or expression evaluation."
KP_GLOBAL_0088,a1b2c3d4-0001-4000-8000-000000000088,array manipulation techniques,ARRAY_MANIPULATION_TECHNIQUES,"Mastery involves performing common array (list) manipulation operations such as reversing (`list[::-1]` or `list.reverse()`), flattening nested lists, rotating elements, and in-place vs. out-of-place modifications to transform array data."
KP_GLOBAL_0138,a1b2c3d4-0001-4000-8000-000000000138,computing and programming basics,COMPUTING_AND_PROGRAMMING_BASICS,"Mastery involves understanding foundational computing concepts including what software, hardware, and programs are, the role of programming languages in instructing computers, and the basic flow of writing, running, and debugging a simple program."
KP_GLOBAL_0531,a1b2c3d4-0001-4000-8000-000000000531,array traversal and indexing,ARRAY_TRAVERSAL_AND_INDEXING,"Mastery involves iterating over array (list) elements using index-based (`for i in range(len(arr))`) and element-based (`for elem in arr`) loops, accessing elements by position, and applying traversal patterns to search, update, or aggregate array contents."
KP_GLOBAL_0720,a1b2c3d4-0001-4000-8000-000000000720,loop break continue pass statements,LOOP_BREAK_CONTINUE_PASS_STATEMENTS,"Mastery involves iterating over an iterable element and conditionally breaking, skipping the loop iteration using break, continue statements. Also, using pass as a placeholder wherever needed avoiding syntax errors"